query,query_type
where does rccl dock in cozumel,location
other names for tsunamis,entity
what is the regulatory code nvq learning called,description
how to clean inflatables pools,description
what does hyalinized mean,description
what is yohimbine,description
superman what is doomsday,description
what type of reaction is iron plus oxygen,description
dispersivity groundwater define,description
how much does the average person litter,numeric
auspice definition,description
what temperature should a koi fish tank be,numeric
how much money does a waterboy make in the nfl,numeric
temp and time to bake chicken,numeric
what does ad hoc mean in a job,description
what is the difference between lymphatic system and immune system,description
is dopamine addictive,description
vancouver weather july and august celsius,numeric
keil name meaning,description
what does Paramecium pentaurelia look like,description
which organelle makes proteins for a cell,entity
farm bill definition,description
characteristics that unify mollusca,entity
what are soba noodles made of,entity
forensic toxicologist salary,numeric
is norco narcotic,description
what is a timpani,description
what does the land of lotus eaters symbolize,description
skyler name meaning,description
what does the name kingston mean,description
what is pertussis,description
bmw gap insurance cost,numeric
the tracheobronchial tree is considered which part of the lungs,entity
what is rapid prototyping,description
what is oxymorphone,description
what is the historical significance in la brea tar pits,description
princeton tuition fee,numeric
how long is a rugby match,numeric
what is type a hepatitis,description
rgb color names list,entity
average temperature in durban,numeric
What is a normal barometric pressure,description
what is g funk music,description
why are hormones considered specific,description
what is a thoracic,description
why is inhalation an active process,description
what does haccp do,description
is hydrolysis process reversible,description
average pay for ceos,numeric
cooking temperature for beef rump roast,numeric
what is legal is ethical,description
how to get from alcohol to alkyl halide,description
definition of quantitative research,description
what is fasnacht day,numeric
tuition cost for midwestern state university,numeric
ideal cholesterol level by age,numeric
what is latency,description
what does a stenopaic slit do?,description
cnattu oceana phone number,numeric
what are the foods of australia,entity
definition of pretext,description
what is the scientific classification of nostoc,description
what does the name taliah mean,description
do mice come out during the day or night,description
what are flame tests,description
what is a yellow stone called,entity
what do neutrophils secrete,description
what sources does protein come from,entity
what sea is iceland in,location
what elements does lime CaO contain,entity
how old do you have to be to have a nose job,numeric
patriarchal meaning in urdu,description
how well does deloitte pay,numeric
what were early britains called,person
why is pluto a planet,entity
what is the scientific name for gonorrhea,entity
what are decidual cells,description
what is the formula for calculating the amount of decking needed,description
How long after birth until period,numeric
treatment synonyms,description
hr directors responsibilities,description
rita name meaning,description
are the veins going to or from the heart,description
what is bird cage made from for budgies,entity
what is the flammability of butane,description
Oxygen in blood is transported mainly,description
what is an ivd,description
how often should dogs be vaccinated,numeric
cost of attendance Menlo college,numeric
average IQ in the usa with standard deviation,numeric
what makes perseus and medusa statue renaissance,description
how do you determine age in veiled chameleon,description
what does an oral surgeon do,description
what does a rash above the ankles mean,description
what is average age of menopause,numeric
how much sugar should be consumed in a day,numeric
how much does an average maple tree weigh,numeric
what makes someone sedentary,description
per diem usa,numeric
why did jackson believed the bank was unconstitutional,description
what is meaning of name shirley?,description
how long does a foreclosure take,numeric
what is a legislative veto,description
how would you define integrity,description
do jalapenos contain nickel,description
what is radium,description
clear example of how to do chicago style referencing,description
why are birds service animals,description
what does integrity means,description
where is the pyramids of giza,location
how far in advance do you sign up for social security,numeric
non deductible ira contribution converted to roth,description
what are tocopherols in food,entity
richmond virginia hill names,person
cost of web development,numeric
what is plc,description
average temperature in Turks and Caicos,numeric
can you refuse a fedex delivery if it's late,description
what is the purpose of brit milah ceremony,description
what is a lorette,description
what is hematopoietic marrow,description
is niagara falls part of canada,description
regulatory sequence definition biology,description
is mirin halal,description
what are the group a strep species,entity
what is israel language,entity
what to do when your toddler is throwing up,description
what class is a german shepherd,description
what is the maximum compensation for unfair dismissal,description
h1b dependent visa processing time,numeric
what is incubation period for pink eye,numeric
what organelles stores food wastes products and other materials,entity
"what is government island vancouver, wa",description
what function do afferent and efferent nerves/neurons serve,description
what does porifera mean,description
are mack tuna good eating,description
what does payroll mean,description
how much does a surgeon make an hour,numeric
what is a rash,description
what is a major landform in east africa,description
normal range thyroid levels,numeric
how do you cook tilapia in the oven,description
how much to renew ohio cosmetology license,numeric
what ethnicity is john schnabel,person
how did the environmental protection agency start,description
what exactly is haggis>,description
how long does fluconazole stay in your system,numeric
A group of organisms which lives together in an area is called a,entity
example of famous renaissance literature,description
what is the origin of the name yemen,description
how much to renovate a small kitchen,numeric
what is secondary seizure disorder,description
how long does it take for meat to digest in the stomach,numeric
average cost for anytime fitness,numeric
how long is a football pitch in metres,numeric
where did shinola get its name,location
did us landed on moon,description
what is a buyer's agent,description
what are packaging clamshells,description
what is maximum solar flare,description
what gpa do you need to get your md degree,numeric
who did odysseus see in the underworld,person
hyperphagia definition,description
what is the kaieteur falls known for,description
where can i buy a scale like doctor's have,location
balbiani body definition,description
sedimentary rocks kid definition,description
when does mercury go retrograde in april,numeric
purest form of honey,entity
cost of beagle puppy,numeric
what is granular material,description
streptococcus anginosus causes what disease,entity
what weight do you need a booster seat,numeric
what does the name symone mean,description
insurance junior underwriter salary,numeric
cost of adding a bedroom and bath to a house,numeric
cost of elderly prisoners,numeric
how long does it take to heal from a piercing,numeric
what versions of linux can run in POWER-emulation mode,description
cost for mastectomy,numeric
what does the brachialis muscle do,description
downtrodden meaning,description
what does a floor tech do,description
what family is a gong in,description
denture reline cost,numeric
what is virtual net metering,description
active tb symptoms,entity
did the minnesota twins win last night,description
linux how to change directory,description
acre definition,description
hours for montgomery county libraries,numeric
what is the difference between weight & mass,numeric
average salary for astronomer,numeric
what type of receptor is responsible for sense of smell,description
what is good eye pressure,description
what does it mean when a disease is eradicated,entity
can farmhouse sinks with laminate countertops,description
partial toll road meaning,description
Which type of memory is used as the working storage area of the computer,description
what are the structures involved in removing waste from the body,description
what did colin fry die of,entity
how much does insurance pay for assisted living,numeric
what kind of toxin is Cadmium,entity
why is smooth endoplasmic reticulum needed by a myocyte,description
is there radon in ottawa,description
what is centennial college known for,person
interior paint cost estimator,numeric
average chip removal cost,numeric
laptop cpu temperature range,numeric
average salary of a clinical psychologist with a phd,numeric
definition of valid,description
what is a group of tuna called,description
what is ceresin,description
grape variety from italy,entity
what is a virucidal,description
what is turquoise made of,entity
what are radioactive elements,description
most common genetically modified food,entity
average temp in maryland in april,numeric
how to print list of files in folder,description
what is the date of emancipation proclamation,numeric
human rights definition canada,description
how long do dic benefits last,numeric
how to start a business in dubai free zone,description
crane hire cost,numeric
can you claim solar panels on tax,description
what does mannitol do,description
definition of polymer chemistry,description
where is an oberweis located,location
wetland scientist salary,numeric
how do you know if your shoulder is broken,description
what is the typical distance between asteroids in the asteroid belt,numeric
what are the requirements for a registered dietitian,description
the petrarchan sonnet is called by that name because,entity
gdp per capita definition,description
nova tuition fee,numeric
what makes your fingers swell,description
third amendment explanation for kids,description
what is estrogen dominance,description
temperature of boiled water,numeric
what does a gluten free diet mean,description
what is a tsunami? how are they produced?,description
why is a mushroom called a fruiting body,entity
how much did manziel make in nfl,numeric
are guinea hens wild,description
what is the main spoken language in china,entity
who wrote the book who was thomas edison,person
is birdsfoot trefoil native,description
how far did the ottoman empire extend into europe,numeric
what does the pancreas do for the human body,description
is river thames a estuary,description
what is briwax used for,description
how much does a teacher earn in duncan oklahoma,numeric
rabies genus name,entity
"who, when and where did cubism begin",person
which cell type is most abundant in the retina,entity
who invented the vaccine for smallpox,person
average cost of whataburger meal,numeric
bail bonds agent salary,numeric
why superdelegates,description
how to make yogurt in the dehydrator,description
what is hyperkyphosis,description
how fast do mud crabs grow,numeric
name of truck carrying breakdown vehicles,description
name meaning for dahlia,description
do plant cells have centrioles,description
what does I olfactory do for smell,description
who is howard carter,person
what does chohan,description
whooping cough bacteria name,entity
definition of phycology,description
what are the boundaries of the superficial inguinal ring,description
what is physical deconditioning,description
which part of brain does what,description
what are dragon passes,description
can i sue the school for not letting my daughter into prom,description
what does the menorah represent in judaism,description
what is meant by a displacement reaction,description
what does it mean when tree leaves curl,description
Synchrony Credit Cards List,description
how much does uber make per ride,numeric
what is protein deficiency disease,entity
where is wineglass bay located,location
how long till eyelashes fully grow back,numeric
what is a holding company used for,description
where does france get its oil,location
how long it takes starlight to reach earth,numeric
what is biotin deficiency,description
brat diet is grits good for diarrhea,entity
lil romeo net worth,numeric
what is trounce insecticide,description
what is a pilot rollout,description
good sources of monounsaturated fatty acids,description
who is affected by salinity in the murray,person
what is an Promotional dealer,description
Webmd is melatonin good for insomnia,description
what is curcuma,description
how much cost for concrete driveway,numeric
what vitamins are good for rheumatoid arthritis,entity
what can set off an alarm system,description
surname ford meaning,description
how to cook pork loin with crackling,description
strict liability offences definition,description
can meat be defrosted and refrozen,description
how much does a good router cost,numeric
when did we go to the moon,numeric
difference between prediabetic and diabetic,description
what was really the goal for equal rights?,description
average time to get a college degree in us,numeric
what is lymph,description
what illnesses does novobiocin treat,entity
how much does it cost to drive from michigan to florida,numeric
what causes an erosion,description
what is the mean of occasional reactive lymphocytes,description
what is an assistant procurement officer,description
what is macrobid for,description
name that means taurus,description
cost to add authorized user american express,numeric
other name for phenazopyridine,entity
why is dystopia important,description
what type of bank is barclays,description
what is dmadv methodology,description
what does mammal mean,description
average linebacker size,numeric
how much time it takes to visit taj mahal,numeric
cost to install bathroom exhaust fan,numeric
average salary of podiatrist,numeric
where does the narwhal live,location
do i need an subfloor with sheet vinyl on second floor,description
how much does it cost to go to harvard university,numeric
average temp san juan december,numeric
which types of freely movable joints are often found in areas of the body,description
who and when was the lightbulb invented,person
can i put xbox saves on my pc,description
what bible does the catholic church use today,entity
how long does it take to get bigger muscles,numeric
safe mode installer service,description
course needed to become an anesthesiologist,description
normal blood pressure levels by age,numeric
is crete island beautiful,description
is there an age limit for learning speech,description
what is a fungi,description
what are the main functions of circulatory system,description
who coined the term jazz,person
how many pages is each part of heart of darkness,numeric
what does the pituitary gland regulate,description
what are gummy bears made of,entity
what are padron peppers,entity
name five muscles that extend the vertebral column,description
the bicuspid or mitral valve is located,description
what is a segmentectomy,description
intravenous immunoglobulin pronunciation,description
weather in prague Czech Republic in august,description
discrete and continuous variable concepts,description
types of harmful greenhouse gases,entity
what are genes biology,description
what is lithium aspartate,description
reasons mckinley was a good president,description
what does a moon tattoo mean,description
what is a brewpub,description
average cost of a goldendoodle puppy,numeric
"side effects of super colon cleanse, health plus",description
Neural tissue is formed by the,description
what organelle helps with muscle contraction,entity
james brown net worth when he died?,numeric
how is bauxite extracted from the earth,description
what are noun phrases,description
what is nok culture,description
what is corundum used in,entity
how many seasons of the wonder years,numeric
who is esteban movie,person
what constitutes implementation,description
when were water mills mostly built,numeric
what does it cost to replace a air conditioning fan motor,numeric
what is biological age mean,description
what does the eiffel tower stand for,description
cost to fill in a pool,numeric
how long to cook chicken legs in the oven,numeric
what is the average words per minute a person can type,numeric
does osteoporosis affect cartilage,description
how much does it cost to have a personal trainer at gold gym,numeric
what is a normal triglyceride level,description
where did the term bbq come from,location
when was the steam engine invented by james watt,numeric
how much money do personal trainers make,numeric
where did gloria vanderbilt get her fortunes,location
what does the sydney harbour bridge do,description
nyu housing cost per year,numeric
if you have to many roosters are they good to eat and at what age,numeric
what does heritage language mean,description
what are platanos fritos,entity
synonyms for make believe,entity
origin of name vera,description
at what temperature and how long do you bake chicken for oven fried chicken,numeric
how do you get rid of a crick in your neck,description
average price per vm per month,numeric
where are the maldives on a map,location
housos vs authority cast,person
what is the closest airport to berkeley ca,location
which type of tides have the largest range,entity
what kind of skin does amphibians have,entity
what does tributaries,entity
what is bord na mona,description
does of counsel mean you are not an employee or partner,description
average cost of new freight tractor,numeric
what is a mobile broadband device,description
how much for a solicitor to do probate,numeric
how much alkaline is in nestle water,numeric
what temperature to bake chicken legs,numeric
what is a telecine,description
what is steve irwin known for,description
explain what is meant by plant like protists with an example,description
what is prime rate mean,description
what is a counseling psychologist,description
jessalyn name meaning,description
average salary for assistant company secretary,numeric
what is the dominance hierarchy for bottlenose dolphins,entity
how is Kanchenjunga formed,description
What became known as the “containment policy” was written by,person
average cost per acre to grow corn,numeric
describe two enumerated powers of the president that influence domestic policy,description
how must does autism cost,numeric
what is a excellent credit score,description
cost of driveway cleaning,numeric
what education does a landscape architect need,description
What is the average life expectancy of a refrigerator?,numeric
how long is a volleyball game,numeric
how many weeks pregnant will i be,numeric
which is the biggest ocean in the world,location
what does gpa scale mean,description
where is hatfield,location
air temperature out of a data center,numeric
how long should you run a humidifier,numeric
what is in heineken,description
how did you know you have tapeworm,description
are investment fees for roth ira deductible,description
foods bad for underactive thyroid,entity
is it safe to reset smartphone,description
is vestigial wings dominant or recessive,description
who coined the term teenager,person
what should you eat if you get calcium oxalate stones,entity
what are the lobes of the lungs,description
what is violent crime definition,description
how many spoons of sugar in tonic water,numeric
what are the benefits of cactus plant,entity
what color is normal martini,entity
what does DECO mean,description
what are crosswalk lines,description
what is speech therapy,description
how long to cook cut up potatoes in the oven,numeric
meaning of the name shephatiah,description
how long do kittens nurse,numeric
how to switch on zune player,description
what is the role of business manager in investment banks,description
ways to tell parents you're pregnant,description
best over the counter medication for cold and inflammation,entity
cost of a do it yourself divorce,numeric
how do humans affect rabbits,description
shorten links for twitter,description
what is a zebra mussel,description
how to build gravel pad under concrete,description
how much protein should you eat per day,numeric
when should hcg blood test be done,numeric
what amps should a well charged battery read,description
how was the alamo gulf coast railroad started,description
which brothers is richest from jonas brothers,person
what is computer VMWare,description
savanna average temperature,numeric
what are the most common infectious diseases by tapeworms,entity
what focuses on the development of psychological tests,description
cost to wire house,numeric
what is the role of carbon dioxide in the krebs cycle,description
what is enfj personality,description
what room temperature for newborn,numeric
how long can you marinate a whole chicken for in the fridge,numeric
what is ginger tea,description
what can cause hiccups daily,description
what is a learning log,description
correct temperature for chest freezer,numeric
what does a chiminea burn,description
tiger eye stone definition,description
who wrote the song cinnamon,person
average size of oven range,numeric
is ira contribution limit is for both traditional and roth ira,numeric
what are antibodies and why are they good,description
is polaris orp company located,person
why was the emancipation proclamation important,description
what is centricity software,description
average technical recruiter salary,numeric
what is the island called near australia,location
what is your personal context,description
how tall do sativa plants grow,numeric
what should your body temperature be,numeric
where is the panichella family location in italy,location
what is a company's remote environment example,description
what is an sma,description
average texas ag teacher salary,numeric
what does the lungs do,description
what is pandan cake,entity
functional dependency means,description
pruning pine trees best time,description
how far is seaworld from legoland,numeric
what age is someone exempt from measles,numeric
where is beauly,location
is an igneous rock a compound element or mixture,description
what does i o device error means,description
where do kangaroos live,location
how did the end of the treaty of versailles affect germany,description
what is a lightning rod,description
how many grams of sugar should you have a day,numeric
what is methenamine,description
shelf life for ground beef,numeric
according to stalin what effect did disobeying the pact have on germany,description
how old does a child have to be to sit in the front seat in nc,numeric
when was carrie underwood born,numeric
what is renewable energy engineering,description
what does a associate degree do for you,description
how much does a therapist make in canada,numeric
blood disorder thalassemia minor,entity
procurement process definition,description
what does sintered mean,description
what does petrified mean,description
who does martin truex drive for now,person
what is a fir tree that flowers,entity
military family life consultant salary,numeric
what is salga,description
what does SOI stand for,description
what is commercial awareness,description
explain what is meant by gene mutation and predict in general terms their effects on gene expression,description
is shetland filmed in shetland islands,description
average cost of an oil change,numeric
what are the major neurotransmitter pathways affected by alcohol,description
how long does it take your body to go into ketosis,numeric
what is THF used for in warfarin synthesis,description
how to calculate fair value of stock price,description
what is the average life expectancy of a refrigerator,numeric
average price for pella windows,numeric
how to pay hourly employees a salary,numeric
what is elemental carbon,description
can you eat a rabbit with myxomatosis,description
mcdonalds age requirement,numeric
how much water needed for cooking and washing,numeric
cost to replace water pump in car,numeric
dog cooling pad what is it,description
what should i do if injured in a car accident,description
are muscovy ducks invasive,description
how much does it cost to get into the university of texas at austin,numeric
how long before amoxicillin starts working,numeric
long term damage from oil spills,description
how long does it take for surgery cuts to heal,numeric
after you run why does your side hurt,description
what does an average dog watch system cost,numeric
how old is rydel lynch,numeric
importance of becoming a certified tissue banking specialist,description
what is a ribosomal subunit,description
common food allergies,entity
what is threading,description
is cancellation of debt taxable in north carolina,description
Subsurface soil that remains permanently frozen is called,description
what type of democracy does the government of the united states have,description
are oranges a good source of potassium,description
what causes pain in muscles behind the knee,description
accountant approximate cost,numeric
how do we encourage public transport,description
what is thermohaline circulation,description
cell equator definition,description
what Bacteria is in butter,entity
how prevalent is adrenoleukodystrophy,description
alt levels normal range,numeric
what is Pulse oximetry used for,description
how much does onecnc cost,numeric
where was amy winehouse born,location
what is the average ocean temperature,numeric
when was gasoline first used,numeric
what is msg in chips,description
define jargon in literature,description
do regular carp jump out of the water,description
food that contain fiber,entity
what foods are a good source of collagen,entity
how does videolicious work,description
how to pick players for a basketball team,description
define genetically modified,description
what does cinque terre mean,description
who coined the term democratic socialist,person
what is recorded post,description
what kind of pain does arthritis cause,entity
what foods have fructose,entity
drinking alcohol with mono,description
average home lifts prices,numeric
what does kahana mean in hawaiian,description
procurement marketing definition,description
do clownfish come in different colors,description
coarctation definition,description
What is potassium and what does it do,description
of what does the alimentary canal of nematodes consists,description
dealing with ants in the garden,description
what is heterotopia,description
what is dengue fever,description
what is kashk,description
where is Traralgon on the australian map,location
meaning of criticise,description
what is a glove maker called,description
why did the slaves revolt in benito cereno,description
origin of name lettice,description
how long does it take to hatch a mallard duck egg,numeric
what are the cells surrounding the egg,description
what is a seaweeds habitat,description
what does prtsc mean,description
how long to cook halibut in the oven,numeric
what is a hill-sachs lesion,description
is caiman alligator,description
what does annual deductible mean for pet insurance,description
what kind of organisms does tetracycline treat,entity
what is air conditioning,description
can i deduct hoa fees for my rental property,description
is licorice fattening,description
﻿The term mimesis means,description
how much is one carat raNDS,numeric
how much does a software engineer make,numeric
when can you no longer claim a child on taxes,numeric
what is sutent,description
where is the common bile duct located,location
how long do medical collections stay on credit report,numeric
difference between rocks and minerals,description
salary of an orthodontist,numeric
army who is susie,person
where do hyenas live,location
average locational marginal price for energy pjm,numeric
what does modem stand for,description
what is digit span in psychology,numeric
sphygmomanometer definition and function,description
temperature of cooked beef tenderloin,numeric
what is the meaning of hemithorax,description
